subfield_id,subfield_name,title,doi,year,cited_by_count,id
1105,"Ecology, Evolution, Behavior and Systematics",Potential of cooperation between human and animal health to strengthen health systems,https://doi.org/10.1016/s0140-6736(05)67731-8,2005,280,https://openalex.org/W2018842076
1105,"Ecology, Evolution, Behavior and Systematics",Synergy between public health and veterinary services to deliver human and animal health interventions in rural low income settings,https://doi.org/10.1136/bmj.331.7527.1264,2005,125,https://openalex.org/W2121952335
1105,"Ecology, Evolution, Behavior and Systematics",On-farm rice yield and its association with biophysical factors in sub-Saharan Africa,https://doi.org/10.1016/j.eja.2016.12.010,2017,93,https://openalex.org/W2579233780
1105,"Ecology, Evolution, Behavior and Systematics",Spatially explicit multi-threat assessment of food tree species in Burkina Faso: A fine-scale approach,https://doi.org/10.1371/journal.pone.0184457,2017,77,https://openalex.org/W2753696808
1105,"Ecology, Evolution, Behavior and Systematics",Redesigning crop varieties to win the race between climate change and food security,https://doi.org/10.1016/j.molp.2023.09.003,2023,58,https://openalex.org/W4386501984
1105,"Ecology, Evolution, Behavior and Systematics","Origins of Hippopotamidae (Mammalia, Cetartiodactyla): towards resolution",https://doi.org/10.1111/j.1463-6409.2005.00183.x,2005,37,https://openalex.org/W1992978070
1105,"Ecology, Evolution, Behavior and Systematics","The first fossil fungus gardens of Isoptera: oldest evidence of symbiotic termite fungiculture (Miocene, Chad basin)",https://doi.org/10.1007/s00114-006-0149-3,2006,35,https://openalex.org/W2084627923
1105,"Ecology, Evolution, Behavior and Systematics","Diversity, distribution and preliminary conservation status of the flora of Burkina Faso",https://doi.org/10.11646/phytotaxa.304.1.1,2017,33,https://openalex.org/W2605888774
1105,"Ecology, Evolution, Behavior and Systematics",ANATOMICAL REVISION OF THE GENUS<i>MERYCOPOTAMUS</i>(ARTIODACTYLA; ANTHRACOTHERIIDAE): ITS SIGNIFICANCE FOR LATE MIOCENE MAMMAL DISPERSAL IN ASIA,https://doi.org/10.1111/j.1475-4983.2006.00643.x,2007,33,https://openalex.org/W2073362706
1105,"Ecology, Evolution, Behavior and Systematics",Epidemiology of Trypanosoma vivax infection in cattle in the tse-tse free area of Lake Chad,https://doi.org/10.1016/j.prevetmed.2005.10.006,2005,30,https://openalex.org/W1992928233
2713,Epidemiology,Transmission dynamics and economics of rabies control in dogs and humans in an African city,https://doi.org/10.1073/pnas.0904740106,2009,280,https://openalex.org/W2098720336
2713,Epidemiology,Vaccination of dogs in an African city interrupts rabies transmission and reduces human exposure,https://doi.org/10.1126/scitranslmed.aaf6984,2017,124,https://openalex.org/W2777639474
2713,Epidemiology,"African 1, an Epidemiologically Important Clonal Complex of <i>Mycobacterium bovis</i> Dominant in Mali, Nigeria, Cameroon, and Chad",https://doi.org/10.1128/jb.01590-08,2009,119,https://openalex.org/W2165029111
2713,Epidemiology,The potential effect of improved provision of rabies post-exposure prophylaxis in Gavi-eligible countries: a modelling study,https://doi.org/10.1016/s1473-3099(18)30512-7,2018,119,https://openalex.org/W2901306671
2713,Epidemiology,European 1: A globally important clonal complex of Mycobacterium bovis,https://doi.org/10.1016/j.meegid.2011.04.027,2011,116,https://openalex.org/W1974721513
2713,Epidemiology,"African 2, a Clonal Complex of <i>Mycobacterium bovis</i> Epidemiologically Important in East Africa",https://doi.org/10.1128/jb.00750-10,2010,100,https://openalex.org/W2164541993
2713,Epidemiology,Effectiveness of dog rabies vaccination programmes: comparison of owner-charged and free vaccination campaigns,https://doi.org/10.1017/s0950268809002386,2009,93,https://openalex.org/W2135075784
2713,Epidemiology,"Cost Description and Comparative Cost Efficiency of Post-Exposure Prophylaxis and Canine Mass Vaccination against Rabies in N’Djamena, Chad",https://doi.org/10.3389/fvets.2017.00038,2017,91,https://openalex.org/W2600224723
2713,Epidemiology,Evaluation of the discriminatory power of variable number tandem repeat (VNTR) typing of Mycobacterium bovis strains,https://doi.org/10.1016/j.vetmic.2005.05.017,2005,73,https://openalex.org/W1985265205
2713,Epidemiology,Can vaccination coverage be improved by reducing missed opportunities for vaccination? Findings from assessments in Chad and Malawi using the new WHO methodology,https://doi.org/10.1371/journal.pone.0210648,2019,65,https://openalex.org/W2913992496
