id,name,field,subfield,us_works_count,fetch_date
T10044,Protein Structure and Dynamics,Unknown,Unknown,56510,2025-11-15 21:06:18
T11162,Enzyme Structure and Function,Unknown,Unknown,51203,2025-11-15 21:06:18
T11048,Bacteriophages and microbial interactions,Unknown,Unknown,48419,2025-11-15 21:06:18
T10911,Chemical Synthesis and Analysis,Unknown,Unknown,47789,2025-11-15 21:06:18
T11786,Geomagnetism and Paleomagnetism Studies,Unknown,Unknown,46949,2025-11-15 21:06:18
T10207,Advanced biosensing and bioanalysis techniques,Unknown,Unknown,45659,2025-11-15 21:06:18
T10015,Genomics and Phylogenetic Studies,Unknown,Unknown,43765,2025-11-15 21:06:18
T11791,Microbial Community Ecology and Physiology,Unknown,Unknown,34934,2025-11-15 21:06:18
T10303,Photosynthetic Processes and Mechanisms,Unknown,Unknown,32233,2025-11-15 21:06:18
T10521,RNA and protein synthesis mechanisms,Unknown,Unknown,31790,2025-11-15 21:06:18
T10211,Computational Drug Discovery Methods,Unknown,Unknown,31620,2025-11-15 21:06:18
T10683,Mass Spectrometry Techniques and Applications,Unknown,Unknown,29605,2025-11-15 21:06:18
T10835,Carbohydrate Chemistry and Synthesis,Unknown,Unknown,28707,2025-11-15 21:06:18
T10602,Glycosylation and Glycoproteins Research,Unknown,Unknown,25920,2025-11-15 21:06:18
T10432,DNA and Nucleic Acid Chemistry,Unknown,Unknown,25457,2025-11-15 21:06:18
T10407,Lipid Membrane Structure and Behavior,Unknown,Unknown,25035,2025-11-15 21:06:18
T10836,Metabolomics and Mass Spectrometry Studies,Unknown,Unknown,24898,2025-11-15 21:06:18
T11879,Protist diversity and phylogeny,Unknown,Unknown,23420,2025-11-15 21:06:18
T10932,Microbial Metabolic Engineering and Bioproduction,Unknown,Unknown,22809,2025-11-15 21:06:18
T10519,Advanced Proteomics Techniques and Applications,Unknown,Unknown,20845,2025-11-15 21:06:18
