year,subfield_id,subfield_name,id,name,us_works_count,fetch_date
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,4032,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,3853,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,2861,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,2231,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,2147,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,1988,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10363,Low-power high-performance VLSI design,1897,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,1851,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,1794,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,1784,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,1779,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10022,Semiconductor Quantum Structures and Devices,1682,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10187,Radio Frequency Integrated Circuit Design,1615,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T11032,VLSI and Analog Circuit Testing,1580,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10369,Advanced MEMS and NEMS Technologies,1264,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10781,Plasma Diagnostics and Applications,1236,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,1218,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T11522,VLSI and FPGA Design Techniques,1209,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,1188,2025-11-20 11:02:29
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,1128,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,1516,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,1325,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T12386,Advanced X-ray and CT Imaging,1224,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,1184,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,1161,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,1091,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T11255,Microfluidic and Bio-sensing Technologies,1077,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T12015,Photoacoustic and Ultrasonic Imaging,1076,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10675,Mechanical Circulatory Support Devices,1066,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,929,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T11808,Superconducting Materials and Applications,909,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T11272,Nanowire Synthesis and Applications,833,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10338,Advanced Sensor and Energy Harvesting Materials,813,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,780,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10958,Ultrasound and Hyperthermia Applications,758,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T12224,Nanofabrication and Lithography Techniques,756,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10822,Acoustic Wave Phenomena Research,734,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10522,Medical Imaging Techniques and Applications,691,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T10059,Bone Tissue Engineering Materials,685,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,T11407,Innovative Microfluidic and Catalytic Techniques Innovation,671,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10002,Advanced Chemical Physics Studies,2710,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10022,Semiconductor Quantum Structures and Devices,2292,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10299,Photonic and Optical Devices,2034,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10923,Force Microscopy Techniques and Applications,2018,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T11177,Spectroscopy and Quantum Chemical Studies,1968,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10382,Quantum and electron transport phenomena,1705,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10988,Advanced Fiber Laser Technologies,1674,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T11449,Mechanical and Optical Resonators,1503,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10049,Magnetic properties of thin films,1455,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T11993,Atomic and Subatomic Physics Research,1285,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10523,Atomic and Molecular Physics,1282,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10666,Photonic Crystals and Applications,1251,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10425,Cold Atom Physics and Bose-Einstein Condensates,1245,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10739,Electromagnetic Scattering and Analysis,1056,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T11965,"Quantum, superfluid, helium dynamics",1007,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10566,Laser-Matter Interactions and Applications,992,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T11853,Semiconductor materials and interfaces,957,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T11429,Semiconductor Lasers and Optical Devices,930,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T10037,Physics of Superconductivity and Magnetism,929,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",T11175,Gyrotron and Vacuum Electronics Research,922,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,1852,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,1761,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T11269,Algorithms and Data Compression,1418,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,1305,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10639,Advanced Software Engineering Methodologies,1267,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10126,"Logic, programming, and type systems",1164,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10711,Target Tracking and Data Fusion in Sensor Networks,1042,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10020,Quantum Information and Cryptography,1024,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T11010,"Logic, Reasoning, and Knowledge",916,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10201,Speech Recognition and Synthesis,881,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T12157,Geochemistry and Geologic Mapping,873,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T11130,Coding theory and cryptography,863,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10679,Service-Oriented Architecture and Web Services,823,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10028,Topic Modeling,815,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10317,Advanced Database Systems and Queries,772,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10142,Formal Methods in Verification,749,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T11598,Internet Traffic Analysis and Secure E-voting,739,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10906,AI-based Problem Solving and Planning,730,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T10237,Cryptography and Data Security,729,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,T11975,Evolutionary Algorithms and Applications,671,2025-11-20 11:02:29
2005,2505,Materials Chemistry,T11162,Enzyme Structure and Function,1638,2025-11-20 11:02:29
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,1541,2025-11-20 11:02:29
2005,2505,Materials Chemistry,T10074,Carbon Nanotubes in Composites,1404,2025-11-20 11:02:29
