id,name,field,subfield,works_count,subfield_id
T10299,Photonic and Optical Devices,Unknown,Unknown,631278,2208
T10472,Semiconductor materials and devices,Unknown,Unknown,569174,2208
T11429,Semiconductor Lasers and Optical Devices,Unknown,Unknown,401292,2208
T10018,Advancements in Battery Materials,Unknown,Unknown,344324,2208
T10461,Gas Sensing Nanomaterials and Sensors,Unknown,Unknown,333870,2208
T10913,Molecular Junctions and Nanostructures,Unknown,Unknown,300116,2208
T10212,Electrochemical sensors and biosensors,Unknown,Unknown,293177,2208
T10409,Fuel Cells and Related Materials,Unknown,Unknown,289927,2208
T10262,Microwave Engineering and Waveguides,Unknown,Unknown,283642,2208
T10558,Advancements in Semiconductor Devices and Circuit Design,Unknown,Unknown,282822,2208
T10232,Optical Network Technologies,Unknown,Unknown,261889,2208
T10205,Advanced Fiber Optic Sensors,Unknown,Unknown,256682,2208
T10590,Chalcogenide Semiconductor Thin Films,Unknown,Unknown,255543,2208
T10663,Advanced Battery Technologies Research,Unknown,Unknown,253308,2208
T10660,Conducting polymers and applications,Unknown,Unknown,251644,2208
T10781,Plasma Diagnostics and Applications,Unknown,Unknown,239951,2208
T14257,Advanced Measurement and Detection Methods,Unknown,Unknown,237784,2208
T10148,Advanced MIMO Systems Optimization,Unknown,Unknown,234477,2208
T10281,Advanced Battery Materials and Technologies,Unknown,Unknown,234154,2208
T14117,Integrated Circuits and Semiconductor Failure Analysis,Unknown,Unknown,231751,2208
T12613,X-ray Diffraction in Crystallography,Unknown,Unknown,1011984,2505
T11881,Crystallization and Solubility Studies,Unknown,Unknown,989163,2505
T10192,Catalytic Processes in Materials Science,Unknown,Unknown,542283,2505
T10083,Graphene research and applications,Unknown,Unknown,296339,2505
T11242,Nuclear Materials and Properties,Unknown,Unknown,280508,2505
T10321,Quantum Dots Synthesis And Properties,Unknown,Unknown,264719,2505
T11878,Solid-state spectroscopy and crystallography,Unknown,Unknown,264019,2505
T13465,"Graphite, nuclear technology, radiation studies",Unknown,Unknown,255861,2505
T12427,Metal Alloys Wear and Properties,Unknown,Unknown,252742,2505
T10310,Corrosion Behavior and Inhibition,Unknown,Unknown,251640,2505
T10090,ZnO doping and properties,Unknown,Unknown,249604,2505
T10478,Diamond and Carbon-based Materials Research,Unknown,Unknown,238554,2505
T11162,Enzyme Structure and Function,Unknown,Unknown,217137,2505
T10903,Porphyrin and Phthalocyanine Chemistry,Unknown,Unknown,213523,2505
T10097,Luminescence Properties of Advanced Materials,Unknown,Unknown,213481,2505
T10078,Advanced Photocatalysis Techniques,Unknown,Unknown,209490,2505
T11279,Lanthanide and Transition Metal Complexes,Unknown,Unknown,209343,2505
T12358,Thermal and Kinetic Analysis,Unknown,Unknown,202474,2505
T11825,Catalysis and Oxidation Reactions,Unknown,Unknown,200259,2505
T10107,Ferroelectric and Piezoelectric Materials,Unknown,Unknown,190851,2505
T11667,Advanced Chemical Sensor Technologies,Unknown,Unknown,383407,2204
T10171,Biofuel production and bioconversion,Unknown,Unknown,305362,2204
T10338,Advanced Sensor and Energy Harvesting Materials,Unknown,Unknown,296071,2204
T11301,Advanced Surface Polishing Techniques,Unknown,Unknown,288732,2204
T11808,Superconducting Materials and Applications,Unknown,Unknown,249710,2204
T10059,Bone Tissue Engineering Materials,Unknown,Unknown,232645,2204
T10784,Muscle activation and electromyography studies,Unknown,Unknown,228397,2204
T12386,Advanced X-ray and CT Imaging,Unknown,Unknown,219576,2204
T11160,Acoustic Wave Resonator Technologies,Unknown,Unknown,216656,2204
T10402,Phase Equilibria and Thermodynamics,Unknown,Unknown,215948,2204
T10412,Microfluidic and Capillary Electrophoresis Applications,Unknown,Unknown,204939,2204
T11190,3D Printing in Biomedical Research,Unknown,Unknown,186527,2204
T10675,Mechanical Circulatory Support Devices,Unknown,Unknown,182603,2204
T10822,Acoustic Wave Phenomena Research,Unknown,Unknown,173377,2204
T13280,Biomedical and Engineering Education,Unknown,Unknown,167980,2204
T10782,Nanoplatforms for cancer theranostics,Unknown,Unknown,167906,2204
T11407,Innovative Microfluidic and Catalytic Techniques Innovation,Unknown,Unknown,167401,2204
T12015,Photoacoustic and Ultrasonic Imaging,Unknown,Unknown,159394,2204
T11073,Metal Extraction and Bioleaching,Unknown,Unknown,157881,2204
T10507,Biodiesel Production and Applications,Unknown,Unknown,153295,2204
T10635,Hydraulic Fracturing and Reservoir Analysis,Unknown,Unknown,319062,2210
T10717,Aluminum Alloys Composites Properties,Unknown,Unknown,297904,2210
T11091,Extraction and Separation Processes,Unknown,Unknown,274667,2210
T11201,Metallurgy and Material Forming,Unknown,Unknown,273133,2210
T10188,Advanced machining processes and optimization,Unknown,Unknown,260363,2210
T12099,Advanced materials and composites,Unknown,Unknown,243525,2210
T11372,Hydraulic and Pneumatic Systems,Unknown,Unknown,240434,2210
T10386,Microstructure and Mechanical Properties of Steels,Unknown,Unknown,237642,2210
T12169,Non-Destructive Testing Techniques,Unknown,Unknown,235071,2210
T10700,Metal Forming Simulation Techniques,Unknown,Unknown,217719,2210
T10998,Heat Transfer and Optimization,Unknown,Unknown,207736,2210
T12427,Metal Alloys Wear and Properties,Unknown,Unknown,206201,2210
T11126,Metallurgical Processes and Thermodynamics,Unknown,Unknown,206080,2210
T11138,Tribology and Lubrication Engineering,Unknown,Unknown,201613,2210
T10834,Welding Techniques and Residual Stresses,Unknown,Unknown,196177,2210
T12959,Engineering and Materials Science Studies,Unknown,Unknown,194653,2210
T11583,Advanced Measurement and Metrology Techniques,Unknown,Unknown,192658,2210
T11351,Catalysis and Hydrodesulfurization Studies,Unknown,Unknown,184312,2210
T12907,Mechanical Engineering and Vibrations Research,Unknown,Unknown,181187,2210
T12282,Mineral Processing and Grinding,Unknown,Unknown,178162,2210
T10181,Natural Language Processing Techniques,Unknown,Unknown,493265,1702
T12157,Geochemistry and Geologic Mapping,Unknown,Unknown,464750,1702
T10320,Neural Networks and Applications,Unknown,Unknown,446446,1702
T13734,Advanced Computational Techniques and Applications,Unknown,Unknown,396991,1702
T10215,Semantic Web and Ontologies,Unknown,Unknown,371664,1702
T10028,Topic Modeling,Unknown,Unknown,316540,1702
T13559,Edcuational Technology Systems,Unknown,Unknown,250506,1702
T10020,Quantum Information and Cryptography,Unknown,Unknown,238517,1702
